subject_id,split
sub-013,train
sub-014,train
sub-015,train
sub-016,test
sub-018,test
sub-019,train
sub-020,train
sub-021,train
sub-022,train
sub-023,train
sub-024,train
sub-025,test
sub-026,train
sub-027,test
sub-028,test
sub-029,train
sub-030,train
sub-031,test
sub-032,train
sub-033,train
sub-034,train
sub-035,train
sub-036,train
sub-037,train
sub-038,train
sub-039,valid
sub-040,train
sub-041,valid
sub-042,test
sub-043,valid
sub-044,train
sub-045,test
sub-046,train
sub-047,train
sub-048,train
sub-049,test
sub-050,train
sub-051,valid
sub-052,train
sub-053,train
sub-054,train
sub-055,train
sub-056,train
sub-057,train
sub-058,train
sub-059,train
sub-060,train
sub-061,train
sub-062,train
sub-063,train
sub-064,train
sub-065,valid
sub-066,train
sub-067,valid
sub-068,test
sub-069,valid
sub-070,train
sub-071,train
sub-072,train
sub-073,train
sub-074,train
sub-075,train
sub-076,train
sub-077,valid
sub-078,valid
sub-079,train
sub-080,train
sub-081,train
sub-082,train
sub-083,test
sub-084,train
sub-085,valid
sub-086,train
sub-087,train
sub-088,test
sub-089,train
sub-090,train
sub-091,valid
sub-092,valid
sub-093,train
sub-095,train
sub-096,test
sub-097,train
sub-098,test
