subject,split,trial_id,task,sequence_length,movement_mean,movement_std,movement_max,movement_min,movement_median,movement_cv,movement_kurtosis,scanpath_length,gaze_dispersion,center_distance_mean,center_distance_std,center_distance_max,gaze_velocity_mean,gaze_velocity_std,gaze_velocity_max,fixation_mean_duration,fixation_max_duration,fixation_count,hull_area
sub-013,train,0,listening,9,-0.3046318424695605,-0.6429405846440098,-1.3632558016022887,-0.021550430069220226,-0.09573619486466113,-0.1229319122879173,0.05747016174500997,-0.5141010692715771,-0.8019995373072343,-1.1107810547538302,-0.7432669113777928,-1.4283353747253762,-0.23375041505436753,-0.2439673221546108,-0.13147187495727736,-0.11615712663933553,-0.15355884767959688,-0.028146526401244466,-0.9699198610654622
sub-013,train,1,listening,5,-0.2964251298184489,-0.5848372159815879,-1.115284006998833,-0.02314441503991528,-0.09404040147456444,0.3071536353023328,-0.02447931753048927,-0.5324265290880945,-0.7389752416493732,-1.1688095114567822,-0.8459875387975966,-1.2901856867065755,-0.14813272607339495,0.0895566048928584,0.4034023571587472,-0.10155069498868034,-0.15355884767959688,-0.44025145851965536,-0.7871398027515625
sub-013,train,2,listening,13,-0.29995544675945124,-0.6253583606030542,-1.2771795731390112,-0.02314441503991528,-0.09622910157987571,-0.08584641209770735,-0.005126182833355777,-0.45707283823420436,-0.4066662076492862,-1.1130452147844585,-0.17253423904976403,-0.8672441419110601,-0.2768049450164518,-0.4664807226820852,-0.6140068401976644,-0.0699094393373102,-0.15355884767959688,0.36080644323860406,-0.832876289626675
sub-013,train,3,memory,9,-0.2981719039694068,-0.6044162100367211,-1.0753404309966699,-0.022300953416546667,-0.09447230561923452,0.12663308813591406,0.059684313488590865,-0.4352711306587064,-0.6703144657706482,-1.1612611422859116,-0.7086282311180658,-1.6407126358174122,-0.27685664299866436,-0.46613601382557956,-0.6132857744998509,-0.10245460108610023,-0.15355884767959688,0.5089790031014034,-0.721566579335256
sub-013,train,4,memory,5,-0.310712977126785,-0.6724648846405203,-1.363589699024245,-0.02314441503991528,-0.0962940465645839,-0.313412002280778,0.37281346839058205,-0.5370802729613485,-0.8071334878907632,-1.0995862206433755,-0.7714714885635948,-2.1983173502171454,-0.247313604024533,-0.31101695409406765,-0.28071056944427725,-0.07328308612393304,-0.15355884767959688,-0.08139604010193802,-0.9932658844992067
sub-013,train,5,memory,9,-0.3019274738863022,-0.6216581770799021,-1.2886989534651567,-0.02214507490439505,-0.09424226170182365,0.06927789138876202,0.06433880477397473,-0.4494248598183053,-0.7952144689804329,-1.1879234457815318,-0.9566051377762189,-2.2041860230211445,-0.27798959287050695,-0.4673682181093362,-0.6133354861815523,-0.084355651808281,-0.15355884767959688,0.5275005730842534,-0.9485821998759661
sub-013,train,6,memory,5,-0.3110642681255853,-0.6851751245585816,-1.246974967980062,-0.02314441503991528,-0.09496362789822836,-0.5390675885944499,1.987663871134621,-0.5377595851829412,-0.7882784251282088,-1.2279813613432244,-0.7723852209915818,-2.1147184349694252,-0.27917937318838115,-0.4680883914481103,-0.6144023295579821,-0.031187395718026485,-0.27869380093428275,-0.09065682509336298,-0.9602689636419215
sub-013,train,7,memory,9,-0.3051893291043972,-0.624781046201314,-1.1923468570021736,-0.022629026573042495,-0.09471076840062345,0.20649524841688283,0.34725855074544293,-0.463832508959937,-0.8862833235570777,-1.3806010428313045,-1.0433270379940525,-2.2294834576883606,-0.27915259042053914,-0.46919883596696965,-0.617068168789834,-0.08546740028977232,-0.15355884767959688,0.5321309655799659,-0.949123726663495
sub-013,train,8,memory,9,-0.3083094606283399,-0.662737837114683,-1.2881211414465565,-0.02151971164179863,-0.09419825705817629,-0.2654492327591832,0.9259486942218002,-0.47829949482149825,-0.8334093966411931,-1.3706166049832107,-1.0497474601183354,-2.1363788872732616,-0.2787522684785154,-0.46775114399081674,-0.6134948051711351,-0.10991130928105669,-0.02842389442491098,0.5413917505713909,-0.9547463280566306
sub-013,train,9,memory,13,-0.29773024521800995,-0.5654529687554861,-1.0302021054350938,-0.02314441503991528,-0.09366847391825561,0.6475608134048072,0.1455524250480139,-0.36411401421736367,-0.7636986267869653,-1.3580206630081895,-0.8221905756008285,-1.7339518501483322,-0.193479733365473,0.10655106548465486,1.0562453167618144,-0.12628485274533563,-0.02842389442491098,1.166494737492576,-0.7783079940106508
